ID Post,User Name,Comments,Sentiments,Sentiment_Predicted
1,Yanise Yanise,سلام عليكم ورحمة لديا مشكلة ! تعبئة 100 دج و بدأت تنقص قليل قليل من 100 دج إلى 75دج و بعدها إلى 50 دج و بعدها إلى 25 دج ! اين ذهبت رصيد تاعي ؟! لن أتكلم بها و لم اتصل بها و ليس لي خاصية رنتي اذن اين ذهب مالي؟!؟!؟!؟ و صار نفس الشيء مع أخي! ماهذا لابد من استرجاعه,Negatif,Negatif
1,Jj Kie,كل عام و انتم بخير,Positif,Positif
1,Sakou Younes,كل عام وأنتم بخير,Positif,Neutre
1,راني نعاني,كل عام وحنا بخير,Positif,Positif
1,مروان سيدهم سيدهم مروان,كل عام وأنتم بخير وأتمنا رد لماذا اسئلة لماذا لحاص وكل عام وأنتم بخير,Positif,Neutre
1,Mostefa Merabti,سعيدة جديدة سنة,Positif,Positif
1,وليد برك,أي عروض مدم رن في 2024,Neutre,Neutre
1,Aymen Aymen,تحيا جازي,Positif,Positif
1,Maram Akram,bonne annee a tous,Positif,Positif
1,Lina Sami,كيفه نحول عروض جازي منفرد لكي نرجعها هايلة كثيرا,Neutre,Positif
1,Yakoub Boussebsi,سنة سعيدة ورجعونا 6h,Positif,Positif
1,Hamza Othmani,بداية سنة سيئة جدا، لقد ثم قطع شبكة ضلم، و مصلحة الزبائن لا ترد، عيب,Negatif,Negatif
1,Mohamed Mellak,عام سعيد 2024,Positif,Positif
1,Saber Zem,أنا مشترك دفع بعدي تم تزويدي بخدمة chirpix دون علمي في 2 ديسمبر 2023، وعند الاطلاع على فاتورة شهر جانفي وجدت مبلغ 740.00 دج زائد عن الفاتورة وعند الاستفسار عند خدمة الزبائن كان بسبب chirpix، علما أنني لم أطلب هذه الخدمة أبدا ؟,Neutre,Negatif
1,جمعية الحي أبناء الغد لعياضات -قصر الأبطال-,نحيطكم علما انا قريتنا ( قرية لعياضات ) التابعة لبلدية قصر الأبطال دائرة عين ولمان ولاية سطيف ان شبكة انترنت جازي تنعدم تماما في قريتنا.نرجو منكم ايجاد حل لهذه المشكلة,Negatif,Negatif
1,Sàm Fàràh Mehimdà,كل مرة تسرقوا 50دج ؟ لماذا هاك تخلونا نبدلوا الخط,Negatif,Negatif
1,Şàłàh Şğhïr,كل عام وانتم بالف خير,Positif,Positif
1,Sofiane Sofiane,لماذا ديتولي 50 دج كل مرة راكم ديروهالي,Negatif,Negatif
1,Lamine Jseb,ماذا بيه شبكة اليوم؟؟ لا يوجد انترنت منذ 3 ساعات,Negatif,Negatif
1,マウンテ ンライト,بهد مناسبة تبرع علينا ب انترنت,Neutre,Positif
1,Bnamer Boutayeb,اصلحوا تطبيق نتاعكم,Negatif,Negatif
1,ゞゞじ づ づ,افعلو لنا أي شيء خاص ب انترنت,Neutre,Negatif
1,كنوش سمير,لا يوجد انترنت,Negatif,Negatif
1,Fati Fati,من 2006 راني مشاركة معاكم أي نهار فرحونا بهديه,Neutre,Positif
1,Sofiane Renault Medea,بطيءة,Negatif,Negatif
1,Sifadine Mehdi,شبكة ما به يذهب و يأتي ؟,Negatif,Negatif
1,Añdřeä Añdřeä,متى تردون شبكة,Negatif,Positif
1,Nabil Issam,ريقلونا رب شبكة,Negatif,Negatif
1,Abdo Gros,malheureusement le reseau etait coupe men 17h ! hata maintenant pour wala في plus c est في niveau d alger yahsra les autres wilaya !! ni excuses ni rien! mais bon في souhaitant une amelioration cette annee incha allah,Negatif,Negatif
2,Abdelghani Tahtah,ماهو هو الكود خاص ب قرض .. ؟؟,Neutre,Neutre
2,أحمد فيراس,جيد,Positif,Positif
2,Œœ Œœ,كيفاه نسلف عشرالاف,Neutre,Negatif
2,Riad BM,من يبعثلي 2 جيغا,Neutre,Negatif
2,Amine Boudiaf,رجعونا عروض امتياز لي نزع لنا,Negatif,Negatif
2,زين الدين ابن البوادي,أود معرفة كيفية سرقة رصيدي ؟ الرجاء التوضيح لي رقمين من جازي دائما لا اجد الرصيد djezzy,Negatif,Negatif
2,Amani Amina,كيف رقم خدمة سلفي,Neutre,Negatif
2,العربي نواوي,ممكن نعرف لماذا تنقصو من الرصيد والله العظيم عيب عيب عيب تعبئة 50 الف غدا تجد 20 الف عيب حسبنا الله ونعم الوكيل.,Negatif,Negatif
2,Yassine Madrid,من فضلكم شريت شريحة جازي جديدة كيفاه تفعيل مع العلم فيها 60g انترنت و 70 مكالمات,Neutre,Positif
2,Aoudjia Aimen,ما به تطبيق حابس اي اصلحوا اصلحوا شبكة نحن نعانون 2024 وريزو ميت في حالا والله ما فهمنا ومفهمتش لماذا نحن فالعالم الثالث (السبب الوحيد لا غيره لي مخلينا فالعالم الثالث انه لا يوجد عالم رابع او خامس),Negatif,Negatif
2,صاحبة السعادة,علابيها اصبحتم تعبئة تدوهم,Negatif,Negatif
2,عائشة صديقة,djezzy من فضلكم أريد تقطيع الشريحة لتناسب الهاتف..لكن هذا الا ممكن مع شريحتي الحالية هل يمكن استبدالها مع أخرى قابلة لتقطيع مع شرط الاحتفاظ برقمي الحالي..,Neutre,Positif
2,Youcef Mellah,نحن نسلكو 150 لشهر و انترنت ربي يجيب ممكن توضيح,Negatif,Negatif
2,Mar Lyn,تخدمو الجمعة ؟,Neutre,Neutre
2,Oussama Chabane,الحل,Neutre,Positif
2,Sifoune Soufyane,هل الرقم 455 خاص بكم ولماذا يتصل بي,Neutre,Negatif
2,Mohamed Rakmouche,طريقة فلكسي من جازي إلى جازي,Neutre,Positif
